F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,class
0,0,0,0,0,0,0,0,0,0,0,0,4,1
0,0,0,0,0,0,0,0,0,0,0,0,4,1
0,0,0,0,0,0,0,0,0,0,0,0,4,1
0,0,0,0,0,0,0,0,0,0,0,0,4,1
0,0,0,0,0,0,0,0,0,0,0,0,4,1
0,0,0,0,0,0,0,0,0,0,0,0,4,1
0,0,0,0,0,0,0,0,0,0,0,0,4,1
0,0,0,0,0,0,0,0,0,0,0,0,4,1
0,0,0,0,0,0,0,0,0,0,0,0,4,1
0,0,0,0,0,0,0,0,0,0,0,0,4,1
0,0,0,0,0,0,0,0,0,0,0,0,4,1
0,0,0,0,0,0,0,0,0,0,0,0,4,1
0,0,0,0,0,0,0,0,0,0,0,0,4,1
0,0,0,0,0,0,0,0,0,0,0,0,4,1
0,0,0,0,0,0,0,0,0,0,0,0,4,1
0,0,0,0,0,0,0,0,0,0,0,0,4,1
0,0,0,0,0,0,0,0,0,0,0,0,4,1
0,0,0,0,0,0,0,0,0,0,0,0,4,1
0,0,0,0,0,0,0,0,0,0,0,0,4,1
0,0,0,0,0,0,0,0,0,0,0,0,4,2
0,0,0,0,0,0,0,0,0,0,0,0,4,2
0,0,0,0,1,0,0,0,0,0,0,0,4,2
0,0,0,0,0,0,0,0,0,0,0,0,4,2
0,0,0,0,1,0,0,0,0,0,0,0,4,2
0,0,0,0,1,0,0,0,0,0,0,0,4,2
0,0,0,0,0,0,0,0,0,0,0,0,4,2
0,0,0,0,0,0,0,0,0,0,0,0,4,2
0,0,0,0,0,0,0,0,0,0,0,0,4,2
0,0,0,0,0,0,0,0,0,0,0,0,4,2
0,0,0,0,1,0,0,0,0,0,0,0,4,2
0,0,0,0,0,0,0,0,0,0,0,0,4,2
0,0,0,0,1,0,0,0,0,0,0,0,4,2
0,0,0,0,0,0,0,0,0,0,0,0,4,2
0,0,0,0,0,0,0,0,0,0,0,0,4,2
0,0,0,0,0,0,0,0,0,0,0,0,4,2
0,0,0,0,1,0,0,0,0,0,0,0,4,2
0,0,0,0,1,0,0,0,0,0,0,0,4,2
0,0,0,0,1,0,0,0,0,0,0,0,4,2
0,0,0,0,0,0,0,0,0,0,0,0,4,2
0,0,0,0,1,0,0,0,0,0,0,0,4,2
0,0,0,0,1,0,0,0,0,0,0,0,4,2
0,0,0,0,0,0,0,0,0,0,0,0,4,2
0,0,0,0,0,0,0,0,0,0,0,0,4,2
0,0,0,0,0,0,0,0,0,0,0,0,4,2
0,0,0,0,0,0,0,0,0,0,0,0,4,2
0,0,0,0,1,0,0,0,0,0,0,0,4,2
0,0,0,0,0,0,0,0,0,0,0,0,4,2
0,0,0,0,0,0,0,0,0,0,0,0,4,2
0,0,0,0,0,0,0,0,0,0,0,0,4,2
0,0,0,0,0,0,0,0,0,0,0,0,4,2
0,0,0,0,0,0,0,0,0,0,0,0,4,2
0,0,0,0,0,0,0,0,0,0,0,0,4,2
0,0,0,0,0,0,0,0,0,0,0,0,4,2
0,0,0,0,1,0,0,0,0,0,0,0,4,2
0,0,0,0,1,0,0,0,0,0,0,0,4,2
0,0,0,0,0,0,0,0,0,0,0,0,4,2
0,0,0,0,1,0,0,0,0,0,0,0,4,2
0,0,0,0,0,0,0,0,0,0,0,0,4,2
0,0,0,0,0,0,0,0,0,0,0,0,4,2
0,0,0,0,1,0,0,0,0,0,0,0,4,2
0,0,0,0,0,0,0,0,0,0,0,0,4,2
0,0,0,0,0,0,0,0,0,0,0,0,4,2
0,0,0,0,1,0,0,0,0,0,0,0,4,2
0,0,0,0,1,0,0,0,0,0,0,0,4,2
0,0,0,0,0,0,0,0,0,0,0,0,4,2
0,0,0,0,1,0,0,0,0,0,0,0,4,2
0,0,0,0,0,0,0,0,0,0,0,0,4,2
0,0,0,0,0,0,0,0,0,0,0,0,4,2
0,0,0,0,1,0,0,0,0,0,0,0,4,2
0,0,0,0,0,0,0,0,0,0,0,0,4,2
0,0,0,0,0,0,0,0,0,0,0,0,4,2
0,0,0,0,1,0,0,0,0,0,0,0,4,2
0,0,0,0,0,0,0,0,0,0,0,0,4,2
0,0,0,0,1,0,0,0,0,0,0,0,4,2
0,0,0,0,1,0,0,0,0,0,0,0,4,2
0,0,0,0,1,0,0,0,0,0,0,0,4,2
0,0,0,0,0,0,0,0,0,0,0,0,4,2
0,0,0,0,1,0,0,0,0,0,0,0,4,2
0,0,0,0,1,0,0,0,0,0,0,0,4,2
0,0,0,0,0,0,0,0,0,0,0,0,4,2
0,0,0,0,0,0,0,0,0,0,0,0,4,2
0,0,0,0,1,0,0,0,0,0,0,0,4,2
0,0,0,0,1,0,0,0,0,0,0,0,4,2
0,0,0,0,1,0,0,0,0,0,0,0,4,2
0,0,0,0,1,0,0,0,0,0,0,0,4,2
0,0,0,0,1,0,0,0,0,0,0,0,4,2
0,0,0,0,1,0,0,0,0,0,0,0,4,2
0,0,0,0,0,0,0,0,0,0,0,0,4,2
0,0,0,0,1,0,0,0,0,0,0,0,4,2
0,0,0,0,0,0,0,0,0,0,0,0,4,2
0,0,0,0,0,0,0,0,0,0,0,0,4,3
0,0,0,0,0,0,0,0,0,0,0,0,4,3
0,0,0,0,0,0,0,0,0,0,0,0,4,3
0,0,0,0,0,0,0,0,0,0,0,0,4,3
0,0,0,0,0,0,0,0,0,0,0,0,4,3
0,0,0,0,0,0,0,0,0,0,0,0,4,3
0,0,0,0,0,0,0,0,0,0,0,0,4,3
0,0,0,0,0,0,0,0,0,0,0,0,4,3
0,0,0,0,0,0,0,0,0,0,0,0,4,3
0,0,0,0,0,0,0,0,0,0,0,0,4,3
0,0,0,0,0,0,0,0,0,0,0,0,4,3
0,0,0,0,0,0,0,0,0,0,0,0,4,3
0,0,0,0,0,0,0,0,0,0,0,0,4,3
0,0,0,0,0,0,0,0,0,0,0,0,4,3
0,0,0,0,0,0,0,0,0,0,0,0,4,3
0,0,0,0,0,0,0,0,0,0,0,0,4,3
0,0,0,0,0,0,0,0,0,0,0,0,4,3
0,0,0,0,0,0,0,0,0,0,0,0,4,3
0,0,0,0,0,0,0,0,0,0,0,0,4,3
0,0,0,0,1,0,0,0,0,0,0,0,4,3
0,0,0,0,1,0,0,0,0,0,0,0,4,3
0,0,0,0,1,0,0,0,0,0,0,0,4,3
0,0,0,0,1,0,0,0,0,0,0,0,4,3
0,0,0,0,0,0,0,0,0,0,0,0,4,3
0,0,0,0,0,0,0,0,0,0,0,0,4,3
0,0,0,0,0,0,0,0,0,0,0,0,4,3
0,0,0,0,0,0,0,0,0,0,0,0,4,3
0,0,0,0,0,0,0,0,0,0,0,0,4,3
0,0,0,0,0,0,0,0,0,0,0,0,4,3
0,0,0,0,0,0,0,0,0,0,0,0,4,3
0,0,0,0,0,0,0,0,0,0,0,0,4,3
0,0,0,0,0,0,0,0,0,0,0,0,4,3
0,0,0,0,0,0,0,0,0,0,0,0,4,3
0,0,0,0,0,0,0,0,0,0,0,0,4,3
0,0,0,0,0,0,0,0,0,0,0,0,4,3
0,0,0,0,0,0,0,0,0,0,0,0,4,3
0,0,0,0,0,0,0,0,0,0,0,0,4,3
0,0,0,0,0,0,0,0,0,0,0,0,4,3
0,0,0,0,0,0,0,0,0,0,0,0,4,3
0,0,0,0,0,0,0,0,0,0,0,0,4,3
0,0,0,0,0,0,0,0,0,0,0,0,4,3
0,0,0,0,0,0,0,0,0,0,0,0,4,3
0,0,0,0,0,0,0,0,0,0,0,0,4,3
0,0,0,0,0,0,0,0,0,0,0,0,4,3
0,0,0,0,0,0,0,0,0,0,0,0,4,3
0,0,0,0,0,0,0,0,0,0,0,0,4,3
0,0,0,0,0,0,0,0,0,0,0,0,4,3
0,0,0,0,0,0,0,0,0,0,0,0,4,3
